Date,Week,Content,Page,Remain
2026/3/9,一,數學(P.36-42)；物理(P.3-7)；化學(P.1-3),16,2224
2026/3/10,二,地科(P.2-13)；生物(P.1-3)；英文(P.2-6),20,2204
2026/3/11,三,數學(P.42-47)；物理(P.8-12)；化學(P.3-5),15,2189
2026/3/12,四,地科(P.14-27)；生物(P.3-6)；英文(P.7),19,2170
2026/3/13,五,數學(P.47-49)；物理(P.13-19)；化學(P.6-11),16,2154
2026/3/14,六,國文(P.2-12)；字音字形(P.6-9),15,2139
2026/3/15,日,【緩衝休息日】,0,2139
2026/3/16,一,數學(P.50-57)；物理(P.20-22)；化學(P.12-16),16,2123
2026/3/17,二,地科(P.28-33)；生物(P.7-13)；英文(P.8-11),17,2106
2026/3/18,三,數學(P.58-66)；物理(P.23-28),15,2091
2026/3/19,四,地科(P.34-38)；生物(P.14-18)；英文(P.12-18),17,2074
2026/3/20,五,數學(P.67-71)；物理(P.29-32)；化學(P.17-25),19,2055
2026/3/21,六,國文(P.13-22)；字音字形(P.10-13),15,2040
2026/3/22,日,【緩衝休息日】,0,2040
2026/3/23,一,數學(P.72-75)；物理(P.33-40)；化學(P.25-28),16,2024
2026/3/24,二,地科(P.39-50)；生物(P.19)；英文(P.19-20),15,2009
2026/3/25,三,數學(P.75-81)；物理(P.41-44)；化學(P.28-31),15,1994
2026/3/26,四,地科(P.51-60)；生物(P.20-24)；英文(P.21-22),18,1976
2026/3/27,五,數學(P.82-86)；物理(P.45-53)；化學(P.32-33),16,1960
2026/3/28,六,國文(P.23-35)；字音字形(P.14-16),16,1944
2026/3/29,日,【緩衝休息日】,0,1944
2026/3/30,一,數學(P.87-94)；物理(P.54-57)；化學(P.34-36),15,1929
2026/3/31,二,地科(P.61-74)；生物(P.25-26),16,1913
2026/4/1,三,數學(P.95-96)；物理(P.58-61)；化學(P.37-45),15,1898
2026/4/2,四,地科(P.75-80)；生物(P.27-30)；英文(P.23-27),15,1883
2026/4/3,五,數學(P.97-99)；物理(P.62-71)；化學(P.46-49),17,1866
2026/4/4,六,國文(P.35-47)；字音字形(P.17-20),17,1849
2026/4/5,日,【緩衝休息日】,0,1849
2026/4/6,一,數學(P.100-104)；物理(P.72-75)；化學(P.50-54),15,1834
2026/4/7,二,地科(P.81-90)；生物(P.31-33)；英文(P.28-31),17,1817
2026/4/8,三,數學(P.105-109)；物理(P.76-84)；化學(P.54-56),17,1800
2026/4/9,四,地科(P.91-97)；生物(P.34)；英文(P.32-38),15,1785
2026/4/10,五,數學(P.110-113)；物理(P.85-95),15,1770
2026/4/11,六,國文(P.48-60)；字音字形(P.21-24),18,1752
2026/4/12,日,【緩衝休息日】,0,1752
2026/4/13,一,數學(P.114-120)；物理(P.96-101)；化學(P.56-60),18,1734
2026/4/14,二,地科(P.98-103)；生物(P.35-39)；英文(P.39-42),15,1719
2026/4/15,三,數學(P.121-131)；物理(P.102-107),17,1702
2026/4/16,四,地科(P.104-118),15,1687
2026/4/17,五,數學(P.132-142)；物理(P.108-111)；化學(P.60-64),20,1667
2026/4/18,六,國文(P.61-75)；字音字形(P.25-27),18,1649
2026/4/19,日,【緩衝休息日】,0,1649
2026/4/20,一,數學(P.143-146)；物理(P.112-123),16,1633
2026/4/21,二,地科(P.119-125)；生物(P.39-42)；英文(P.43-48),17,1616
2026/4/22,三,數學(P.147-155)；物理(P.124-129)；化學(P.64-66),18,1598
2026/4/23,四,地科(P.126-134)；生物(P.43-45)；英文(P.48-52),17,1581
2026/4/24,五,數學(P.156-161)；物理(P.130-137)；化學(P.66-69),18,1563
2026/4/25,六,國文(P.76-88)；字音字形(P.28-31),17,1546
2026/4/26,日,【緩衝休息日】,0,1546
2026/4/27,一,數學(P.161-171)；物理(P.138-140)；化學(P.69-71),18,1528
2026/4/28,二,地科(P.135-140)；生物(P.45-49)；英文(P.53-60),19,1509
2026/4/29,三,數學(P.171-177)；物理(P.141-144)；化學(P.72-75),15,1494
2026/4/30,四,地科(P.141-151)；生物(P.49-50)；英文(P.61-62),15,1479
2026/5/1,五,數學(P.178-188)；物理(P.145-146)；化學(P.76-77),15,1464
2026/5/2,六,國文(P.89-98)；字音字形(P.32-36),15,1449
2026/5/3,日,【緩衝休息日】,0,1449
2026/5/4,一,數學(P.188-196)；物理(P.147-152)；化學(P.78-80),18,1431
2026/5/5,二,地科(P.152-163)；生物(P.50-52)；英文(P.63-64),17,1414
2026/5/6,三,數學(P.197-201)；物理(P.153-167),20,1394
2026/5/7,四,地科(P.164-180),17,1377
2026/5/8,五,數學(P.202-206)；物理(P.168-173)；化學(P.81-87),18,1359
2026/5/9,六,國文(P.99-108)；字音字形(P.37-41),15,1344
2026/5/10,日,【緩衝休息日】,0,1344
2026/5/11,一,數學(P.206-211)；物理(P.174-180)；化學(P.88-93),19,1325
2026/5/12,二,地科(P.181-196)；英文(P.65-66),18,1307
2026/5/13,三,數學(P.211-215)；物理(P.181-182)；化學(P.94-105),19,1288
2026/5/14,四,地科(P.197-201)；生物(P.53-64),17,1271
2026/5/15,五,數學(P.216-224)；物理(P.183-185)；化學(P.105-108),16,1255
2026/5/16,六,國文(P.109-118)；字音字形(P.42-45),14,1241
2026/5/17,日,【緩衝休息日】,0,1241
2026/5/18,一,數學(P.225-231)；物理(P.186-193)；化學(P.109-110),18,1223
2026/5/19,二,地科(P.202-208)；生物(P.65-71),14,1209
2026/5/20,三,數學(P.232-238)；物理(P.194-195)；化學(P.110-115),16,1193
2026/5/21,四,地科(P.209-215)；生物(P.72-74)；英文(P.67-72),16,1177
2026/5/22,五,數學(P.239-241)；物理(P.196-210),18,1159
2026/5/23,六,國文(P.119-126)；字音字形(P.46-51),14,1145
2026/5/24,日,【緩衝休息日】,0,1145
2026/5/25,一,數學(P.242-246)；物理(P.211-215)；化學(P.116-121),16,1129
2026/5/26,二,地科(P.216-229)；生物(P.74-75)；英文(P.72-73),18,1111
2026/5/27,三,數學(P.246-249)；物理(P.216-222)；化學(P.122-127),17,1094
2026/5/28,四,地科(P.230-244),15,1079
2026/5/29,五,數學(P.249-257)；物理(P.223-227),14,1065
2026/5/30,六,國文(P.127-139)；字音字形(P.52),14,1051
2026/5/31,日,【緩衝休息日】,0,1051
2026/6/1,一,數學(P.258-265)；物理(P.228-231)；化學(P.128-131),16,1035
2026/6/2,二,生物(P.76-79)；英文(P.74-83),15,1020
2026/6/3,三,數學(P.266-270)；物理(P.232-241),15,1005
2026/6/4,四,生物(P.80-89)；英文(P.84-87),14,991
2026/6/5,五,數學(P.270-276)；化學(P.132-140),16,975
2026/6/6,六,國文(P.140-148)；字音字形(P.53-57),14,961
2026/6/7,日,【緩衝休息日】,0,961
2026/6/8,一,數學(P.276-286)；化學(P.141-143),14,947
2026/6/9,二,生物(P.89-96)；英文(P.88-93),15,932
2026/6/10,三,化學(P.144-157),14,918
2026/6/11,四,生物(P.97-103)；英文(P.94-104),19,899
2026/6/12,五,化學(P.158-174),17,882
2026/6/13,六,國文(P.149-158)；字音字形(P.58-61),14,868
2026/6/14,日,【緩衝休息日】,0,868
2026/6/15,一,化學(P.174-186),13,855
2026/6/16,二,生物(P.103-110)；英文(P.105-113),17,838
2026/6/17,三,化學(P.187-200),15,823
2026/6/18,四,生物(P.111-117)；英文(P.113-117),13,810
2026/6/19,五,化學(P.200-214),18,792
2026/6/20,六,國文(P.159-167)；字音字形(P.62-64),13,779
2026/6/21,日,【緩衝休息日】,0,779
2026/6/22,一,化學(P.214-226),14,765
2026/6/23,二,生物(P.118)；英文(P.118-130),14,751
2026/6/24,三,化學(P.227-230)；生物(P.119-131),17,734
2026/6/25,四,生物(P.132-139)；英文(P.131-135),13,721
2026/6/26,五,生物(P.140-148),13,708
2026/6/27,六,國文(P.168-177)；字音字形(P.65-67),13,695
2026/6/28,日,【緩衝休息日】,0,695
2026/6/29,一,生物(P.148-162),17,678
2026/6/30,二,生物(P.163-172)；英文(P.136-139),16,662
2026/7/1,三,生物(P.173-180)；英文(P.140-147),17,645
2026/7/2,四,生物(P.181-197),17,628
2026/7/3,五,生物(P.198-204)；英文(P.148-156),16,612
2026/7/4,六,國文(P.178-187)；字音字形(P.68-71),13,599
2026/7/5,日,【緩衝休息日】,0,599
2026/7/6,一,英文(P.156-168),13,586
2026/7/7,二,英文(P.169-181),13,573
2026/7/8,三,英文(P.182-195),14,559
2026/7/9,四,英文(P.196-212),18,541
2026/7/10,五,英文(P.213-226),15,526
2026/7/11,六,國文(P.188-197)；字音字形(P.72-75),14,512
2026/7/12,日,【緩衝休息日】,0,512
2026/7/13,一,英文(P.227-242),16,496
2026/7/14,二,英文(P.243-254),12,484
2026/7/15,三,英文(P.255-266),12,472
2026/7/16,四,英文(P.267-279),13,459
2026/7/17,五,英文(P.280-292),14,445
2026/7/18,六,國文(P.198-206)；字音字形(P.76-79),12,433
2026/7/19,日,【緩衝休息日】,0,433
2026/7/20,一,英文(P.293-309),17,416
2026/7/21,二,英文(P.309-321),13,403
2026/7/22,三,英文(P.322-327)；國文(P.207-213),13,390
2026/7/23,四,國文(P.214-229),16,374
2026/7/24,五,國文(P.230-242),13,361
2026/7/25,六,國文(P.243-251)；字音字形(P.80-82),12,349
2026/7/26,日,【緩衝休息日】,0,349
2026/7/27,一,國文(P.252-264),13,336
2026/7/28,二,國文(P.265-278),12,324
2026/7/29,三,國文(P.279-295),18,306
2026/7/30,四,國文(P.296-306),11,295
2026/7/31,五,國文(P.307-317),11,284
2026/8/1,六,國文(P.318-326)；字音字形(P.83-85),12,272
2026/8/2,日,【緩衝休息日】,0,272
2026/8/3,一,國文(P.327-337),11,261
2026/8/4,二,國文(P.338-347),11,250
2026/8/5,三,國文(P.348-359),12,238
2026/8/6,四,國文(P.359-372),14,224
2026/8/7,五,國文(P.373-376)；字音字形(P.86-92),11,213
2026/8/8,六,字音字形(P.93-103),11,202
2026/8/9,日,【緩衝休息日】,0,202
2026/8/10,一,字音字形(P.104-114),11,191
2026/8/11,二,字音字形(P.115-125),11,180
2026/8/12,三,字音字形(P.126-136),11,169
2026/8/13,四,字音字形(P.137-147),11,158
2026/8/14,五,字音字形(P.148-158),11,147
2026/8/15,六,字音字形(P.159-169),11,136
